Given name,Family name,Email,Employment number,Payroll number,Pay scale,Branch code,Branch,Pay
Fazzio,Ballesteros,Fazzio.Ballesteros@tawara.com,4100,,D6,351,Porto,
Lila,Carvajal,Lila.Carvajal@tawara.com,6270,,C3,351,Porto,
Delta,Banda,Delta.Banda@tawara.com,5400,,C2,351,Porto,
Edita,Zamora,Edita.Zamora@tawara.com,2640,,A3,351,Porto,
Balthasar,Barela,Balthasar.Barela@tawara.com,2901,,A3,351,Porto,
Hayde,Nieto,Hayde.Nieto@tawara.com,3870,,M4,351,Porto,
Jemima,Aguilar,Jemima.Aguilar@tawara.com,4600,,B9,351,Porto,
Adamo,Uribe,Adamo.Uribe@tawara.com,5460,,A2,34,Barcelona,
Christopher,Carranza,Christopher.Carranza@tawara.com,7565,,M1,34,Barcelona,
Tancredo,Banda,Tancredo.Banda@tawara.com,1700,,A1,34,Barcelona,
Adhemar,Alaniz,Adhemar.Alaniz@tawara.com,1685,,B5,34,Barcelona,
Hermelando,Cardona,Hermelando.Cardona@tawara.com,4445,,B2,34,Barcelona,
Asela,Macías,Asela.Macías@tawara.com,3500,,C7,34,Barcelona,
Elisandro,Romero,Elisandro.Romero@tawara.com,2985,,D3,34,Barcelona,
Lucy,Vela,Lucy.Vela@tawara.com,2200,,A1,34,Barcelona,
Harumi,Valencia,Harumi.Valencia@tawara.com,4440,,E3,34,Barcelona,
Cirenia,Valle,Cirenia.Valle@tawara.com,7450,,D6,34,Barcelona,
Proserpina,Meza,Proserpina.Meza@tawara.com,2900,,A1,34,Barcelona,
Feliks,Tomaszewski,Feliks.Tomaszewski@tawara.com,4108,,C3,48,Gdansk,
Miroslaw,Pawlowski,Miroslaw.Pawlowski@tawara.com,8349,,B1,48,Gdansk,
Jucja,Czerwinska,Jucja.Czerwinska@tawara.com,6365,,B9,48,Gdansk,
Marcin,Tomaszewski,Marcin.Tomaszewski@tawara.com,5812,,B5,48,Gdansk,
Agnieszka,Czarnecka,Agnieszka.Czarnecka@tawara.com,9693,,B1,48,Gdansk,
Tymon,Dubrowski ,Tymon.Dubrowski @tawara.com,6315,,A1,48,Gdansk,
Waleria,Dudek,Waleria.Dudek@tawara.com,9405,,C2,48,Gdansk,
Hanna,Walczak,Hanna.Walczak@tawara.com,3371,,C1,48,Gdansk,
Agnieszka,Michalska,Agnieszka.Michalska@tawara.com,5419,,A1,48,Gdansk,
Wadysyawa,Czerwinska,Wadysyawa.Czerwinska@tawara.com,6473,,B4,48,Gdansk,
Antoni,Kwiatkowski,Antoni.Kwiatkowski@tawara.com,7701,,B2,48,Gdansk,
Rafa,Król,Rafa.Król@tawara.com,1970,,B7,48,Gdansk,
Cibor,Kucharski,Cibor.Kucharski@tawara.com,7338,,B2,48,Gdansk,
Micha,Olszewski,Micha.Olszewski@tawara.com,8339,,M4,48,Gdansk,
Jarogniew,Zawadzki,Jarogniew.Zawadzki@tawara.com,7648,,B2,48,Gdansk,
Honorata,Szczepaska,Honorata.Szczepaska@tawara.com,5010,,B2,48,Gdansk,
Juliusz,Wysocki,Juliusz.Wysocki@tawara.com,3821,,A3,48,Gdansk,
Raclaw,Kaczmarek,Raclaw.Kaczmarek@tawara.com,6044,,A6,48,Gdansk,
Jaropek,Pawlak,Jaropek.Pawlak@tawara.com,4594,,D2,48,Gdansk,
Faustin,Breton,Faustin.Breton@tawara.com,8504,,C1,48,Gdansk,
Rosina,Cattaneo,Rosina.Cattaneo@tawara.com,7841,,B7,39,Naples,
Assunta,Toscani,Assunta.Toscani@tawara.com,9224,,A6,39,Naples,
Natascia,Folliero,Natascia.Folliero@tawara.com,6552,,D6,39,Naples,
Gualtiero,Lombardo,Gualtiero.Lombardo@tawara.com,2329,,C3,39,Naples,
Corrado,Lori,Corrado.Lori@tawara.com,3360,,C2,39,Naples,
Nino,De Luca,Nino.De Luca@tawara.com,5974,,A3,39,Naples,
Speranza,Nucci,Speranza.Nucci@tawara.com,7085,,A3,39,Naples,
Tranquillo,Ferri,Tranquillo.Ferri@tawara.com,9031,,M4,39,Naples,
Cinzia,Padovesi,Cinzia.Padovesi@tawara.com,6015,,B9,39,Naples,
Natalino,Pagnotto,Natalino.Pagnotto@tawara.com,7914,,A2,39,Naples,
Lorna,Calabrese,Lorna.Calabrese@tawara.com,2065,,M1,39,Naples,
Livia,Barese,Livia.Barese@tawara.com,8167,,A1,39,Naples,
Curzio,Baresi,Curzio.Baresi@tawara.com,1193,,B5,39,Naples,
Wanda ,Greece,Wanda .Greece@tawara.com,6169,,B2,39,Naples,
Immacolata,Endrizzi,Immacolata.Endrizzi@tawara.com,2903,,C7,39,Naples,
Csilla,Tanor,Csilla.Tanor@tawara.com,8096,,D3,385,Split,
Ramona,Hoska,Ramona.Hoska@tawara.com,5079,,A1,385,Split,
Endre,Mekek,Endre.Mekek@tawara.com,7395,,E3,385,Split,
Peter,Vadasz,Peter.Vadasz@tawara.com,2833,,D6,385,Split,
Erik,Sizer,Erik.Sizer@tawara.com,1271,,M1,385,Split,
Hatas,Imre,Hatas.Imre@tawara.com,6977,,C3,385,Split,
Juco,Duri,Juco.Duri@tawara.com,1151,,B1,385,Split,
Joza,Stimon,Joza.Stimon@tawara.com,3175,,B9,385,Split,
Rendi,Werek,Rendi.Werek@tawara.com,9702,,B5,385,Split,
Emal,Florenczi,Emal.Florenczi@tawara.com,5769,,B1,385,Split,
Karola,Mezey,Karola.Mezey@tawara.com,2959,,A1,385,Split,
Broska,Kozma,Broska.Kozma@tawara.com,1951,,C2,385,Split,
Csilla,Major,Csilla.Major@tawara.com,1837,,C1,355,Tirana,
Ramona,Havasi,Ramona.Havasi@tawara.com,3980,,A1,355,Tirana,
Endre,Makay,Endre.Makay@tawara.com,5069,,B4,355,Tirana,
Erik,Simon,Erik.Simon@tawara.com,9402,,B2,355,Tirana,
Hajnalka,Imre,Hajnalka.Imre@tawara.com,3937,,B7,355,Tirana,
Beriszl,Demeter,Beriszl.Demeter@tawara.com,4036,,B2,355,Tirana,
Juci,Csonka,Juci.Csonka@tawara.com,6940,,M4,355,Tirana,
Fodor,Havasy,Fodor.Havasy@tawara.com,5358,,B2,355,Tirana,
Roza,Sipos,Roza.Sipos@tawara.com,7679,,B2,355,Tirana,
Kriszta,Pataki,Kriszta.Pataki@tawara.com,1288,,A3,355,Tirana,
Gyala,Kis,Gyala.Kis@tawara.com,8940,,A6,355,Tirana,
Juci,Turi,Juci.Turi@tawara.com,9790,,D2,355,Tirana,
Jozsi,Simon,Jozsi.Simon@tawara.com,5094,,C1,355,Tirana,
Rendor,Weress,Rendor.Weress@tawara.com,7221,,B7,355,Tirana,
Erssike,Cseh,Erssike.Cseh@tawara.com,5431,,A6,355,Tirana,
Anasztaizia,Budai,Anasztaizia.Budai@tawara.com,8054,,D6,355,Tirana,
Ema,Ferenczi,Ema.Ferenczi@tawara.com,8239,,C3,355,Tirana,
Charina,Stam,Charina.Stam@tawara.com,7439,,C2,3,Amsterdam,
Jobbe,Henken,Jobbe.Henken@tawara.com,8854,,A3,3,Amsterdam,
Irmgard,Nieboer,Irmgard.Nieboer@tawara.com,3053,,A3,3,Amsterdam,
Anne-Sophie,Held,Anne-Sophie.Held@tawara.com,6551,,M4,3,Amsterdam,
Jihan,Oosterwijk,Jihan.Oosterwijk@tawara.com,6542,,B9,3,Amsterdam,
Freerk,Schonenberg,Freerk.Schonenberg@tawara.com,5547,,A2,3,Amsterdam,
Benji,Tesselaar,Benji.Tesselaar@tawara.com,2404,,M1,3,Amsterdam,
Bedia,Benjamin,Bedia.Benjamin@tawara.com,6774,,A1,3,Amsterdam,
Iddo,Raas,Iddo.Raas@tawara.com,2302,,B5,3,Amsterdam,
Ayman,Wuite,Ayman.Wuite@tawara.com,9711,,B2,3,Amsterdam,
Saman,Breebaart,Saman.Breebaart@tawara.com,4760,,C7,3,Amsterdam,
Antsje,Gerrits,Antsje.Gerrits@tawara.com,1141,,D3,3,Amsterdam,
Sabria,Norbart,Sabria.Norbart@tawara.com,5728,,A1,3,Amsterdam,
Dima,Beaumont,Dima.Beaumont@tawara.com,6276,,B5,3,Amsterdam,
Kalina,Daalhuizen,Kalina.Daalhuizen@tawara.com,4588,,D6,3,Amsterdam,
Doede,Ruitenberg,Doede.Ruitenberg@tawara.com,4381,,A1,3,Amsterdam,
Vince,Claessens,Vince.Claessens@tawara.com,8961,,C3,3,Amsterdam,
Ermin,Finke,Ermin.Finke@tawara.com,4552,,B1,3,Amsterdam,
Gulsum,Stoutjesdijk,Gulsum.Stoutjesdijk@tawara.com,2074,,B9,3,Amsterdam,
Anne-Claire,Greuter,Anne-Claire.Greuter@tawara.com,1620,,B5,3,Amsterdam,
Simone,Roth,Simone.Roth@tawara.com,5576,,B1,49,Hamburg,
Uta,Wechsler,Uta.Wechsler@tawara.com,9689,,A1,49,Hamburg,
David,Huber,David.Huber@tawara.com,3127,,C2,49,Hamburg,
Dennis,Unger,Dennis.Unger@tawara.com,4998,,C1,49,Hamburg,
Steffen,Kaiser,Steffen.Kaiser@tawara.com,9542,,A1,49,Hamburg,
Sophie,Schmid,Sophie.Schmid@tawara.com,2794,,B4,49,Hamburg,
Peter,Fuchs,Peter.Fuchs@tawara.com,7878,,B2,49,Hamburg,
Kristin,Moeller,Kristin.Moeller@tawara.com,2235,,B7,49,Hamburg,
Stephanie,Eberhardt,Stephanie.Eberhardt@tawara.com,1286,,B2,49,Hamburg,
Jessica,Wulf,Jessica.Wulf@tawara.com,8702,,M4,49,Hamburg,
Matthias,Bumgarner,Matthias.Bumgarner@tawara.com,4050,,B2,49,Hamburg,
Laura,Fisher,Laura.Fisher@tawara.com,7326,,B2,49,Hamburg,
Antje,Freeh,Antje.Freeh@tawara.com,2790,,A3,49,Hamburg,
Angelika,Brandt,Angelika.Brandt@tawara.com,7374,,A6,49,Hamburg,
